Versjon;Ansvar;Beløp;Oppdatert;;;;;;;;;;;;;;;
2021PVBEND;051030;517000;3/12/2021;;;;;;;;;;;;;;;
2021PVBEND;061170;172000;10/11/2021;;;;;;;;;;;;;;;
2021PVBEND;031060;-115000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;031020;-807000;10/11/2021;;;;;;;;;;;;;;;
2021PVBEND;031070;591000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061010;-298000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;041050;220877;1/31/2022;;;;;;;;;;;;;;;
2021PVBEND;011040;129000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061040;546000;10/11/2021;;;;;;;;;;;;;;;
2021PVBEND;061130;611094;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;041080;160730;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;041090;-2186420;3/9/2021;;;;;;;;;;;;;;;
2021PVBEND;031010;24000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;041060;-181468;7/16/2021;;;;;;;;;;;;;;;
2021PVBEND;021040;8000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;021100;3000;5/10/2021;;;;;;;;;;;;;;;
2021PVBEND;021020;512000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;011050;-219000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;021120;308000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;021080;169000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;041040;-359566;7/16/2021;;;;;;;;;;;;;;;
2021PVBEND;051050;68000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;021110;1089204;3/9/2021;;;;;;;;;;;;;;;
2021PVBEND;061090;24000;10/11/2021;;;;;;;;;;;;;;;
2021PVBEND;061100;-19000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;061150;60000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061060;128294;1/31/2022;;;;;;;;;;;;;;;
2021PVBEND;041030;91000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;031040;38000;4/20/2021;;;;;;;;;;;;;;;
