Enhet;Måned;År;Regnskap
E051010 - Flatåsen skole;1;2021;5 116 770
E051010 - Flatåsen skole;2;2021;6 268 010
E051010 - Flatåsen skole;3;2021;6 159 280
E051010 - Flatåsen skole;4;2021;6 397 280
E051010 - Flatåsen skole;5;2021;5 921 460
E051010 - Flatåsen skole;6;2021;-1 118 420
E051010 - Flatåsen skole;7;2021;5 854 990
E051010 - Flatåsen skole;8;2021;5 756 420
E051010 - Flatåsen skole;9;2021;6 240 280
E051010 - Flatåsen skole;10;2021;6 883 430
E051010 - Flatåsen skole;11;2021;5 167 020
E051010 - Flatåsen skole;12;2021;5 668 740
E051030 - Huseby ungdomsskole;1;2021;2 093 570
E051030 - Huseby ungdomsskole;2;2021;2 407 660
E051030 - Huseby ungdomsskole;3;2021;2 211 000
E051030 - Huseby ungdomsskole;4;2021;2 303 050
E051030 - Huseby ungdomsskole;5;2021;2 280 000
E051030 - Huseby ungdomsskole;6;2021;-218 490
E051030 - Huseby ungdomsskole;7;2021;2 005 590
E051030 - Huseby ungdomsskole;8;2021;2 666 100
E051030 - Huseby ungdomsskole;9;2021;2 945 350
E051030 - Huseby ungdomsskole;10;2021;2 821 460
E051030 - Huseby ungdomsskole;11;2021;3 583 160
E051030 - Huseby ungdomsskole;12;2021;3 453 650
E051040 - Kolstad skole;12;2021;-3 490
E051050 - Romolslia skole;1;2021;1 358 750
E051050 - Romolslia skole;2;2021;1 521 020
E051050 - Romolslia skole;3;2021;1 436 450
E051050 - Romolslia skole;4;2021;1 161 010
E051050 - Romolslia skole;5;2021;1 515 900
E051050 - Romolslia skole;6;2021;-262 540
E051050 - Romolslia skole;7;2021;1 547 300
E051050 - Romolslia skole;8;2021;1 589 040
E051050 - Romolslia skole;9;2021;1 482 790
E051050 - Romolslia skole;10;2021;1 579 760
E051050 - Romolslia skole;11;2021;1 682 520
E051050 - Romolslia skole;12;2021;937 410
E051070 - Huseby barneskole - AC Møller tegnspråksenter;1;2021;6 673 390
E051070 - Huseby barneskole - AC Møller tegnspråksenter;2;2021;7 791 570
E051070 - Huseby barneskole - AC Møller tegnspråksenter;3;2021;7 651 260
E051070 - Huseby barneskole - AC Møller tegnspråksenter;4;2021;6 680 640
E051070 - Huseby barneskole - AC Møller tegnspråksenter;5;2021;6 487 730
E051070 - Huseby barneskole - AC Møller tegnspråksenter;6;2021;-2 385 150
E051070 - Huseby barneskole - AC Møller tegnspråksenter;7;2021;7 432 090
E051070 - Huseby barneskole - AC Møller tegnspråksenter;8;2021;8 062 080
E051070 - Huseby barneskole - AC Møller tegnspråksenter;9;2021;6 999 210
E051070 - Huseby barneskole - AC Møller tegnspråksenter;10;2021;7 799 120
E051070 - Huseby barneskole - AC Møller tegnspråksenter;11;2021;7 082 380
E051070 - Huseby barneskole - AC Møller tegnspråksenter;12;2021;2 841 960
E061010 - Breidablikk skole;1;2021;3 208 400
E061010 - Breidablikk skole;2;2021;2 634 840
E061010 - Breidablikk skole;3;2021;2 710 460
E061010 - Breidablikk skole;4;2021;2 622 250
E061010 - Breidablikk skole;5;2021;2 499 870
E061010 - Breidablikk skole;6;2021;-160 150
E061010 - Breidablikk skole;7;2021;2 853 880
E061010 - Breidablikk skole;8;2021;2 780 760
E061010 - Breidablikk skole;9;2021;2 809 900
E061010 - Breidablikk skole;10;2021;3 053 260
E061010 - Breidablikk skole;11;2021;3 039 320
E061010 - Breidablikk skole;12;2021;2 065 760
E061030 - Hårstad skole;1;2021;2 264 770
E061030 - Hårstad skole;2;2021;2 586 140
E061030 - Hårstad skole;3;2021;2 445 770
E061030 - Hårstad skole;4;2021;2 414 040
E061030 - Hårstad skole;5;2021;1 972 130
E061030 - Hårstad skole;6;2021;-400 700
E061030 - Hårstad skole;7;2021;2 675 070
E061030 - Hårstad skole;8;2021;2 760 060
E061030 - Hårstad skole;9;2021;2 656 970
E061030 - Hårstad skole;10;2021;2 801 260
E061030 - Hårstad skole;11;2021;2 272 340
E061030 - Hårstad skole;12;2021;2 411 840
E061040 - Kattem skole;1;2021;5 530 650
E061040 - Kattem skole;2;2021;3 930 980
E061040 - Kattem skole;3;2021;3 573 170
E061040 - Kattem skole;4;2021;3 908 630
E061040 - Kattem skole;5;2021;3 847 090
E061040 - Kattem skole;6;2021;-545 080
E061040 - Kattem skole;7;2021;3 633 040
E061040 - Kattem skole;8;2021;4 010 730
E061040 - Kattem skole;9;2021;2 237 560
E061040 - Kattem skole;10;2021;3 932 570
E061040 - Kattem skole;11;2021;3 102 530
E061040 - Kattem skole;12;2021;2 484 820
E061050 - Nypvang skole;1;2021;1 379 790
E061050 - Nypvang skole;2;2021;1 477 960
E061050 - Nypvang skole;3;2021;1 414 090
E061050 - Nypvang skole;4;2021;1 634 840
E061050 - Nypvang skole;5;2021;1 311 330
E061050 - Nypvang skole;6;2021;19 900
E061050 - Nypvang skole;7;2021;1 576 670
E061050 - Nypvang skole;8;2021;1 531 680
E061050 - Nypvang skole;9;2021;1 676 940
E061050 - Nypvang skole;10;2021;1 593 940
E061050 - Nypvang skole;11;2021;1 169 390
E061050 - Nypvang skole;12;2021;786 300
E061060 - Okstad skole;1;2021;1 267 310
E061060 - Okstad skole;2;2021;1 337 720
E061060 - Okstad skole;3;2021;1 051 170
E061060 - Okstad skole;4;2021;1 278 100
E061060 - Okstad skole;5;2021;1 290 110
E061060 - Okstad skole;6;2021;-375 030
E061060 - Okstad skole;7;2021;1 356 270
E061060 - Okstad skole;8;2021;1 785 520
E061060 - Okstad skole;9;2021;1 530 150
